setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,casos,poblacio
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,2,1.00,10116.00
5,2021,01/02/2021,07/02/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,70 a 79,3,1.00,14947.00
22,2021,31/05/2021,06/06/2021,78,BARCELONA,7801,METROPOLITANA SUD,Home,15 a 44,3,1.00,167448.00
30,2021,26/07/2021,01/08/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,1,5.00,7815.00
24,2020,08/06/2020,14/06/2020,64,GIRONA,6400,GIRONA,Home,45 a 59,3,1.00,54355.00
17,2021,26/04/2021,02/05/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,4,1.00,7538.00
51,2021,20/12/2021,26/12/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,70 a 79,4,1.00,7665.00
5,2022,31/01/2022,06/02/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,3,15.00,18562.00
18,2022,02/05/2022,08/05/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,60 a 69,3,1.00,47685.00
34,2020,17/08/2020,23/08/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,2,3.00,16614.00
52,2021,27/12/2021,02/01/2022,64,GIRONA,6400,GIRONA,Home,70 a 79,3,3.00,17923.00
52,2021,27/12/2021,02/01/2022,61,LLEIDA,6100,LLEIDA,Home,60 a 69,3,1.00,12396.00
47,2020,16/11/2020,22/11/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,2,3.00,35827.00
6,2022,07/02/2022,13/02/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,60 a 69,2,2.00,4685.00
40,2020,28/09/2020,04/10/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,3,2.00,17658.00
26,2021,28/06/2021,04/07/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,60 a 69,2,1.00,43699.00
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,60 a 69,3,2.00,47685.00
23,2022,06/06/2022,12/06/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,1,2.00,7974.00
9,2022,28/02/2022,06/03/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,3,2.00,35550.00
40,2020,28/09/2020,04/10/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,4,1.00,5756.00
48,2020,23/11/2020,29/11/2020,64,GIRONA,6400,GIRONA,Home,80 o més,4,4.00,6197.00
48,2020,23/11/2020,29/11/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,11.00,14695.00
20,2021,17/05/2021,23/05/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,45 a 59,4,1.00,26101.00
19,2022,09/05/2022,15/05/2022,64,GIRONA,6400,GIRONA,Dona,70 a 79,4,1.00,14285.00
16,2020,13/04/2020,19/04/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,4,14.00,3923.00
53,2020,28/12/2020,03/01/2021,64,GIRONA,6400,GIRONA,Dona,70 a 79,3,2.00,20126.00
13,2020,23/03/2020,29/03/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,15 a 44,4,1.00,19446.00
42,2020,12/10/2020,18/10/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,2,4.00,15481.00
5,2021,01/02/2021,07/02/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,3,7.00,19599.00
34,2020,17/08/2020,23/08/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,60 a 69,2,1.00,22858.00
19,2020,04/05/2020,10/05/2020,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,2,3.00,8881.00
47,2020,16/11/2020,22/11/2020,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,2,7.00,8881.00
5,2021,01/02/2021,07/02/2021,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Home,45 a 59,3,1.00,13033.00
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,2,2.00,8747.00
46,2020,09/11/2020,15/11/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,2,17.00,16614.00
6,2021,08/02/2021,14/02/2021,61,LLEIDA,6100,LLEIDA,Home,70 a 79,4,1.00,4222.00
35,2021,30/08/2021,05/09/2021,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,4,1.00,12252.00
2,2021,11/01/2021,17/01/2021,64,GIRONA,6400,GIRONA,Home,70 a 79,4,4.00,12021.00
41,2020,05/10/2020,11/10/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Home,70 a 79,1,1.00,11917.00
17,2022,25/04/2022,01/05/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,2,1.00,5191.00
31,2020,27/07/2020,02/08/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,4,3.00,3979.00
12,2021,22/03/2021,28/03/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,60 a 69,3,1.00,18431.00
39,2020,21/09/2020,27/09/2020,64,GIRONA,6400,GIRONA,Home,80 o més,4,2.00,6197.00
43,2020,19/10/2020,25/10/2020,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Home,80 o més,3,1.00,3515.00
38,2020,14/09/2020,20/09/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Home,70 a 79,3,3.00,16015.00
19,2022,09/05/2022,15/05/2022,61,LLEIDA,6100,LLEIDA,Dona,80 o més,4,1.00,4708.00
7,2021,15/02/2021,21/02/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,70 a 79,2,8.00,26789.00
45,2020,02/11/2020,08/11/2020,61,LLEIDA,6100,LLEIDA,Home,80 o més,4,3.00,2787.00
18,2020,27/04/2020,03/05/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,70 a 79,2,1.00,3730.00
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,3.00,15073.00
34,2021,23/08/2021,29/08/2021,78,BARCELONA,7801,METROPOLITANA SUD,Dona,70 a 79,3,1.00,42412.00
37,2021,13/09/2021,19/09/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,1,1.00,2433.00
43,2021,25/10/2021,31/10/2021,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,2,1.00,8880.00
29,2022,18/07/2022,24/07/2022,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Dona,80 o més,3,3.00,5440.00
16,2020,13/04/2020,19/04/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,45 a 59,3,8.00,107049.00
29,2020,13/07/2020,19/07/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,3,1.00,10788.00
30,2021,26/07/2021,01/08/2021,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 79,4,1.00,18668.00
24,2022,13/06/2022,19/06/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,2,1.00,1593.00
2,2021,11/01/2021,17/01/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,45 a 59,4,2.00,48388.00
15,2022,11/04/2022,17/04/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,3,3.00,18562.00
50,2020,07/12/2020,13/12/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,3.00,14695.00
18,2021,03/05/2021,09/05/2021,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,2,2.00,15468.00
7,2021,15/02/2021,21/02/2021,78,BARCELONA,7802,METROPOLITANA NORD,Dona,60 a 69,2,1.00,26031.00
49,2020,30/11/2020,06/12/2020,78,BARCELONA,7801,METROPOLITANA SUD,Dona,60 a 69,3,1.00,51175.00
50,2021,13/12/2021,19/12/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,3,1.00,8010.00
